video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ZI72cNQj2GM&pp=ygUKbmV3IG1leGljbw%3D%3D,/@TRIPXTREME,TRIP XTREME,Top 10 Best Places to Visit in NEW MEXICO 2026 | US Travel Guide,136K,1 year,Embark on a vibrant journey through the Land of Enchantment with our latest video: Top 10 Best Places to Visit in New Mexico ...,2026-01-14 21:47:53.961363
/watch?v=ZtAZ3bBOy2Y&pp=ygUKbmV3IG1leGljbw%3D%3D,/@rocanews,RocaNews,Inside the Appalachia of New Mexico,1.2M,10 months,We traveled to the northern mountain range of northwestern New Mexico in search of a place where Spanish and Native ...,2026-01-14 21:47:53.962651
/watch?v=w3bMsue2_AE&pp=ygUKbmV3IG1leGljbw%3D%3D,/@GeographyByGeoff,Geography By Geoff,Why Almost Nobody Moves To New Mexico,544K,1 month,"MasterClass has great offers this holiday season. If you use my link, you'll get up to 50% off an annual subscription. Head over to ...",2026-01-14 21:48:00.314784
/watch?v=w6djfIrci6c&pp=ygUKbmV3IG1leGljbw%3D%3D,/@WorldAccordingToBriggs,World According To Briggs,10 Shocking Truths Why People Won't Move to New Mexico,970K,2 years,"The Shocking Truths Why People Won't Move to New Mexico New Mexico is a beautiful state with a lot to offer, but there are also ...",2026-01-14 21:48:00.315662
/watch?v=fVe8CLPdocQ&pp=ygUKbmV3IG1leGljbw%3D%3D,/@HomeschoolPop,Homeschool Pop,New Mexico for Kids | US States Learning Video,153K,7 years,This US States learning video for kids explores facts about New Mexico! The state of New Mexico is also called the Land of ...,2026-01-14 21:48:00.316928
/watch?v=O9WjKH2PCp0&pp=ygUKbmV3IG1leGljbw%3D%3D,/@Acrosstheglobechannel,Across The Globe,New Mexico’s Geography Is Way Stranger Than You Think,203K,2 months,"New Mexico isn't just deserts and sunsets, it's one of the strangest, most overlooked states in America, hiding scientific oddities, ...",2026-01-14 21:48:00.318379
/shorts/J_GiDWnsj7E,/@LANDIO,LANDIO,LAND for SALE in NEW MEXICO with Water & Power • LANDIO,227K,1 year,"Mountain Land for Sale in NEW MEXICO with Power, Internet, Road Frontage & Water from a Local Waterfall. This Homesite is ...",2026-01-14 21:48:00.319415
/watch?v=NBG1dVIuxZg&list=RDNBG1dVIuxZg&start_radio=1&pp=ygUKbmV3IG1leGljb6AHAQ%3D%3D,/@SlowSerenityMedia,Slow Serenity - Relaxing Music,New Mexico 4K - Relaxing Ambient Music for Relieving Stress and Anxiety (4k UHD),27K,1 year,New Mexico 4K - Relaxing Ambient Music for Relieving Stress and Anxiety (4k UHD) New Mexico 4K - Relaxing Ambient Music ...,2026-01-14 21:48:00.320927
/watch?v=9weva9TVAOU&pp=ygUKbmV3IG1leGljbw%3D%3D,/@LonelyPlanet,Lonely Planet,A Local's Guide To Must-See New Mexico | Best In Travel 2023,94K,3 years,"BEST IN TRAVEL 2023: NEW MEXICO Learn why New Mexico is called the ""Land of Enchantment."" Is it because of the state's ...",2026-01-14 21:48:00.322471
/watch?v=V0i32QoQK7Q&pp=ygUKbmV3IG1leGljbw%3D%3D,/@NickJohnson,Nick Johnson,"Gallup, New Mexico: The Most Dangerous City In The Most Dangerous State",423K,8 months,Ad: Ekster's Spring Sale sale - get up to 30% off and use code NICKJOHNSON at checkout to unlock further savings: ...,2026-01-14 21:48:00.323498
/watch?v=GVU1DGzs7W4&pp=ygUKbmV3IG1leGljbw%3D%3D,/@NickJohnson,Nick Johnson,This Is Life In The Best Place To Live In New Mexico,206K,9 months,"The 'best' place to live in New Mexico might not impress you. This is Las Cruces, widely considered to be the least troubled city in ...",2026-01-14 21:48:00.324796
/watch?v=EqunNHOOnmg&pp=ygUKbmV3IG1leGljbw%3D%3D,/@PeterSantenello,Peter Santenello,Life in New Mexico’s Most Isolated Towns 🇺🇸,1.2M,1 month,Pre-order my book Your Fellow Americans here: ...,2026-01-14 21:48:00.326668
/watch?v=eT1pcMypyCs&pp=ygUKbmV3IG1leGljb9IHCQlNCgGHKiGM7w%3D%3D,/@mountainwest,MountainWestConf,HIGHLIGHTS: Grand Canyon at New Mexico Men's Basketball 1/13/26,998,17 hours,MWMBB Highlights from New Mexico's 87-64 win over Grand Canyon.,2026-01-14 21:48:00.327923
/watch?v=tr8wrHc6KCU&pp=ygUKbmV3IG1leGljbw%3D%3D,/@NickJohnson,Nick Johnson,"Albuquerque, New Mexico - The World's 20th Most Dangerous City",273K,9 months,"Albuquerque is tragic in so many ways! But it is also one of the last affordable places to live out west. In this video, we explored the ...",2026-01-14 21:48:00.328977
/watch?v=jgSG1FpPQck&pp=ygUKbmV3IG1leGljbw%3D%3D,/@NickJohnson,Nick Johnson,Unboxing New Mexico: What It's Like Living In New Mexico,506K,4 years,Do New Mexicans put chile on everything? Does everyone in New Mexico have a state flag tattoo? And has the whole population ...,2026-01-14 21:48:00.330700
/watch?v=6qsO3yt7HDY&pp=ygUKbmV3IG1leGljbw%3D%3D,/@tripinsight.travel,Trip Insight,Wonders of New Mexico | The Most Amazing Places in New Mexico | Travel Video 4K,118K,10 months,"Wonders of New Mexico | The Most Amazing Places in New Mexico | Travel Video 4K Subscribe to the channel here, it's free but ...",2026-01-14 21:48:00.333945
/watch?v=fpVsrsvwe4M&pp=ygUKbmV3IG1leGljb9IHCQlNCgGHKiGM7w%3D%3D,/@touropia,touropia,10 Best Places to Visit in New Mexico - Travel Video,896K,4 years,Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-new-mexico/ It's no wonder that New ...,2026-01-14 21:48:00.335943
/watch?v=j9ZQLeP1y9o&pp=ygUKbmV3IG1leGljbw%3D%3D,/@GeographyKing,Geography King,Why New Mexico is My Favorite State,240K,6 years,An overview of New Mexico and why it is my favorite state in the country. I've traveled all throughout the U.S. and have found New ...,2026-01-14 21:48:00.338884
/shorts/3vVZ4FMycEg,/@AmericanClassicToursInc,American Classic Tours,Top 5 Places New Mexico,95K,4 years,The top 5 places to travel in the beautiful state of New Mexico.,2026-01-14 21:48:07.509972
/watch?v=VyhZoebuFDw&pp=ygUKbmV3IG1leGljbw%3D%3D,/@TheWestisBig,The West is Big! Explore It,"10 Best New Mexico Road Trip stops-. White Sands, Carlsbad Caverns & more",346K,3 years,00:00 Intro 3:02 White Sands National Park 22:20 New Mexico space Museum 25:30 3 Rivers Petroglyph Site 36:12 Carlsbad ...,2026-01-14 21:48:07.511359
/watch?v=j4ouFeGWis8&pp=ygUKbmV3IG1leGljbw%3D%3D,/@FlyBeyondWilderness-00,Fly Beyond Wilderness,WONDERS OF NEW MEXICO | The Most Amazing Places in New Mexico | US Travel Video 4K,25K,1 year,WONDERS OF NEW MEXICO | The Most Amazing Places in New Mexico | US Travel Video 4K Buy our Merch ...,2026-01-14 21:48:07.512827
/watch?v=QfLHmL0oKtw&pp=ygUKbmV3IG1leGljbw%3D%3D,/@nmpbsoriginals,NMPBS Originals,"Sleeping Monsters, Sacred Fires: Volcanos Of New Mexico | New Mexico PBS",226K,16 years,"Look in any direction in New Mexico and you can find mountains that have blown their tops, rare maar volcanoes, cinder cones, ...",2026-01-14 21:48:07.514226
/watch?v=5TBFZtbdWeQ&pp=ygUKbmV3IG1leGljbw%3D%3D,/@FreeDocumentary,Free Documentary,Amazing Quest: Stories from New Mexico | Somewhere on Earth: New Mexico | Free Documentary,175K,2 years,Somewhere on Earth - New Mexico | Free Documentary Somewhere on Earth - All episodes: ...,2026-01-14 21:48:07.515291
/watch?v=pLjtJ2LUjc8&pp=ygUKbmV3IG1leGljbw%3D%3D,/@CityGeek,City Geek,"Albuquerque Overview | An informative introduction to Albuquerque, New Mexico",15K,2 months,"I lived in Albuquerque for a couple years and I loved my time there. Albuquerque has a unique history, culture and one of the best ...",2026-01-14 21:48:07.516281
/watch?v=kmvV1PpRiLI&pp=ygUKbmV3IG1leGljbw%3D%3D,/@justtravelingthru_,Just Traveling Thru,Visit New Mexico: 10 Day Road Trip | Travel Guide,4.6K,1 year,"Visit New Mexico Top Sites with this 10 day road trip exploring breathtaking landscapes, historical landmarks and National Parks.",2026-01-14 21:48:07.517726
/watch?v=01GpQYASN1I&pp=ygUKbmV3IG1leGljbw%3D%3D,/@USHistorians,US Historians,Moving to New Mexico - 8 Best Places to Live in New Mexico,171K,2 years,"Hi Guys!, In this video, we are going to check out the Best Places to Live in New Mexico. A move to the land of enchantment well ...",2026-01-14 21:48:07.519051
/watch?v=ztqZ3qECqo4&pp=ygUKbmV3IG1leGljbw%3D%3D,/@ExploreNatureToday,Explore Nature Today,UNSEEN NEW MEXICO - Secret Places Locals Keep Hidden,583K,10 months,"In this video, we'll take you on a journey through the wonders of NEW MEXICO, showcasing the most amazing places to visit in 4K ...",2026-01-14 21:48:07.520122
/watch?v=eHJMIV64ttw&pp=ygUKbmV3IG1leGljbw%3D%3D,/@AdventuresofAplusK,Adventures of A+K,We went on a Northern NEW MEXICO road trip!,118K,1 year,Want to support our adventures? Check out our A+K merch and eBooks! https://adventuresofaplusk.com/shop/ We went on an ...,2026-01-14 21:48:07.521490
/watch?v=mEc7PNptMQk&pp=ygUKbmV3IG1leGljbw%3D%3D,/@BestDoc,Best Documentary,New Mexico: A Journey Through Desert and Mountain Splendor,216K,2 years,"New Mexico, the fifth largest state in the United States, is renowned for its vast expanse and low population density, making it one ...",2026-01-14 21:48:07.522630
/watch?v=7b0UsO6jjDw&pp=ygUKbmV3IG1leGljbw%3D%3D,/@RealSamanthaBrown,RealSamanthaBrown,"Santa Fe, New Mexico - Samantha Brown's Places to Love FULL 4K EPISODE",150K,1 year,Travel Itinerary for This Episode: https://samantha-brown.com/episodes/season-2-2/santa-fe-new-mexico/ I'm in a city that began ...,2026-01-14 21:48:07.524027
/watch?v=XR8hoGB88ME&pp=ygUKbmV3IG1leGljbw%3D%3D,/@NickJohnson,Nick Johnson,Inside New Mexico's 'War Zone' - The Most Frightful Neighborhood In America,498K,9 months,"You've never seen anything like what's happening in Albuquerque's International District, aka 'The War Zone.' I haven't seen ...",2026-01-14 21:48:07.524939
/watch?v=Nd6YqICpLtU&pp=ygUKbmV3IG1leGljbw%3D%3D,/@jackvanlyssel,jack vanlyssel,Best Things To Do in Albuquerque New Mexico | Travel Guide From A Local,28K,6 months,"Best things in Santa Fe: https://youtu.be/KIVsvasoNko Looking for the best things to do in Albuquerque, New Mexico? As a local ...",2026-01-14 21:48:07.525845
/watch?v=pGPjU65CHeE&pp=ygUKbmV3IG1leGljbw%3D%3D,/@NickJohnson,Nick Johnson,Deep In New Mexico’s Hidden Mountains: The Towns Nobody Saved,155K,1 month,You probably didn't know New Mexico had mountains. On this adventure we explored every square inch of New Mexico's ...,2026-01-14 21:48:07.526975
/watch?v=YCUpaA-OYcg&pp=ygUKbmV3IG1leGljbw%3D%3D,/@ThroughMyLens,Through My Lens,Route 66 Road Trip Stops in New Mexico,402K,5 years,New Mexico is the third state in my Route 66 road trip series. My dad and I took 14 days to drive from California to Illinois and we ...,2026-01-14 21:48:07.528456
/watch?v=NATCwmPJ1No&pp=ygUKbmV3IG1leGljbw%3D%3D,/@novustravels,Novus Travel,7 Best Places to Live in New Mexico - Moving to New Mexico | Travel Video,7.9K,1 year,In This Video You Can See the Top 10 Places to Live in New Mexico or Best Places to Live || Living in New Mexico || Life in New ...,2026-01-14 21:48:07.529385
/watch?v=CTA10aruS6Y&pp=ygUKbmV3IG1leGljbw%3D%3D,/@CynicalHistorian,The Cynical Historian,Why New Mexico Hates Texas | State Rivalries,335K,7 years,"Having lived in many states, New Mexicans have a particular hatred for Texans that is pretty unique, and is backed up by a rivalry ...",2026-01-14 21:48:15.285896
/watch?v=F74xFkF-qYM&pp=ygUKbmV3IG1leGljbw%3D%3D,/@PeterSantenello,Peter Santenello,Inside the Off-Grid Earthship Community in New Mexico 🇺🇸,1.8M,1 month,Go to https://incogni.com/santenello for 60% off annual plan and get your privacy back. ▻ Learn more about the Earthship ...,2026-01-14 21:48:15.286947
/watch?v=_dCwYoZziPc&pp=ygUKbmV3IG1leGljbw%3D%3D,/@iammrbeat,Mr. Beat,Arizona and New Mexico Compared,480K,6 years,"Signup for your FREE trial to The Great Courses Plus here: http://ow.ly/LiTA30prDWy BEFORE YOU MAKE A COPYRIGHT CLAIM, ...",2026-01-14 21:48:15.288283
/watch?v=0G8IIO3MC_4&pp=ygUKbmV3IG1leGljbw%3D%3D,/@CodyandKellie,Cody & Kellie,"3 Days in Taos, New Mexico — America’s Most Underrated Mountain Town",101K,1 year,"We're spending 3 days in Taos, New Mexico, a place many consider one of the most underrated destinations in the entire country ...",2026-01-14 21:48:15.289747
