video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=C9n0W3sTTsw&pp=ygUJd2lzY29uc2lu,/@WisconsinBadgers,Wisconsin Badgers,"Highlights at Minnesota || Wisconsin Basketball || Jan. 13, 2026",9.2K,18 hours,"Wisconsin men's basketball junior John Blackwell hit a buzzer-beating three-pointer to lift UW over Minnesota, 78-75, on Tuesday ...",2026-01-14 21:50:13.230690
/watch?v=VoQAElzdXYw&pp=ygUJd2lzY29uc2lu,/@GeoLogic-z5g,GeoLogic,Why Wisconsin Is the Opposite of Most U.S. States,109K,4 days,"midwest #aroundtheworld #geography Most people think they understand Wisconsin. Cheese, lakes, cold winters, quiet towns ...",2026-01-14 21:50:13.232026
/watch?v=A4Z7R5aBb3k&pp=ygUJd2lzY29uc2lu,/@hanhphuctuoixechieu80,Hạnh Phúc Tuổi Xế Chiều,Wisconsin vs Minnesota Highlights | Men's Basketball | College Basketball 2025,2.9K,19 hours,Wisconsin and Minnesota faced off in a hard-fought men's college basketball matchup during the 2025 season. This rivalry game ...,2026-01-14 21:50:13.233038
/shorts/ez7YVdbe2Aw,/@CharlieBerens,Charlie Berens,AI Data Mines in Wisconsin – Manitowoc Minute Special Report,2.4M,4 months,Walleye Wall-E #shorts MERCH: https://manitowocminute.com/collections Follow me at these places: Twitter: ...,2026-01-14 21:50:13.234117
/shorts/Zl2pFCWVnQc,/@GeorgeJapan,George Japan,Wisconsin is so UNDERRATED🇺🇸,94K,3 years,George's merch https://www.george-japan.com/ □FoodWars Japan vs USA https://youtu.be/eLeYCwv0j9Q □George's ...,2026-01-14 21:50:13.235153
/watch?v=NEeqIf-mMwE&pp=ygUJd2lzY29uc2lu,/@Versedyoutube,Versed,Why Wisconsin Drinks So Much,213K,1 year,Why Wisconsin Drinks So Much.,2026-01-14 21:50:13.236587
/watch?v=eV3LDrhs700&pp=ygUJd2lzY29uc2lu,/@ThelifeoftheStates,The life of the States,50 Wisconsin Geography Facts You Never Knew,122K,1 month,50 Wisconsin Geography Facts You Never Knew Did you know that in Wisconsin there's a lake that “sings” in winter as the ice ...,2026-01-14 21:50:13.237810
/watch?v=DXRYVE-xcCU&pp=ygUJd2lzY29uc2lu,/@traveloworld,traveloworld,Wisconsin Places | Top 15 Best Places To Visit In Wisconsin | Travel Guide,319K,2 years,Welcome to traveloworld YouTube channel! This video is about Top 15 Best Places To Visit In Wisconsin. Several segments ...,2026-01-14 21:50:13.238816
/shorts/ybGlstcTn40,/@tommywinkler,Tommy Winkler,Eating the most iconic food in Wisconsin for the whole day! #shorts #wisconsin,253K,4 years,Instagram: https://www.instagram.com/tommywinkler/ TikTok: https://www.tiktok.com/@tommywinkler? Twitter: @tommy_winkler_ ...,2026-01-14 21:50:13.240193
/watch?v=olMKSpuUGqo&pp=ygUJd2lzY29uc2lu,/@iammrbeat,Mr. Beat,Minnesota and Wisconsin Compared,1M,6 years,"Mr. Beat compares and contrasts Minnesota and Wisconsin, two fairly similar Upper Midwestern states. #geography #minnesota ...",2026-01-14 21:50:13.241578
/watch?v=EcDw3X4ImUU&list=RDEcDw3X4ImUU&start_radio=1&pp=ygUJd2lzY29uc2luoAcB,/channel/UCZH4EVUqljV-zkZEd0Ot7EQ,Madilyn Bailey,Madilyn - Wisconsin (Official Music Video),2.1M,5 years,Welcome to my hometown. I spent most of my childhood doing everything I could to get out of Wisconsin. When I was 16 I had ...,2026-01-14 21:50:13.242774
/watch?v=yAqxoWfPHK4&pp=ygUJd2lzY29uc2lu,/@NickJohnson,Nick Johnson,Unboxing Wisconsin: What It's Like Living In Wisconsin,358K,4 years,Does everyone in Wisconsin hate people from Illinois? Does everyone in Wisconsin eat cheese with every meal? Is southern ...,2026-01-14 21:50:13.243892
/shorts/YwZhL4k20UA,/@Cityaestheticss,City Aesthetics ⛩️,North America’s most geographically unique city: Madison Wisconsin,2.1M,3 months,"Madison, Wisconsin is one of the most unique capital cities in the United States — built right on an isthmus between Lake ...",2026-01-14 21:50:13.244901
/shorts/e9OJxN9NXo8,/@CharlieBerens,Charlie Berens,First time at a Wisconsin bar #shorts,3.3M,4 months,Old fashioned love story #shorts MERCH: https://manitowocminute.com/collections Follow me at these places: Twitter: ...,2026-01-14 21:50:13.245893
/watch?v=_Vxu2WWl9Nc&pp=ygUJd2lzY29uc2lu,/@torscabinetofcuriosities,Tor's Cabinet of Curiosities,The Wisconsin Town Ruled By A Pseudo-Catholic Cult,145K,1 month,The audio issues will continue until views improve! This extraordinary story was mostly dug up by my Wisconsin-raised Catholic ...,2026-01-14 21:50:13.246821
/watch?v=HKsg-rNnVhM&pp=ygUJd2lzY29uc2lu,/@fragilerovers,Fragile Rovers,"Life in Madison, Wisconsin 🇺🇸 4K Downtown Madison Walking Tour",53K,2 years,Madison is the capital city of the U.S. state of Wisconsin. It is located in the southern part of the state and is known for its vibrant ...,2026-01-14 21:50:13.247669
